,000016.SH,000016.SH,000016.SH,000300.SH,000300.SH,000300.SH,000905.SH,000905.SH,000905.SH,000852.SH,000852.SH,000852.SH
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2005/4/26,789.887,792.303,381002500,928.428,937.083,1169047100,839.248,855.24,619995510,784.953,806.944,137169023
2005/4/27,790.471,782.432,412660400,938.57,926.604,1078061100,857.951,839.953,594365492,809.899,790.244,123031867
2005/4/28,779.699,793.878,535077500,923.529,942.073,1434348600,837.384,860.616,764311242,787.364,813.628,153063019
2005/4/29,793.452,789.732,410954500,940.806,932.395,1123541900,860.393,847.611,601368538,812.836,802.279,137687062
2005/5/9,790.825,775.321,303214000,934.65,909.174,852911500,848.088,818.399,420610047,803.668,771.082,96444360
2005/5/10,772.609,779.099,422389300,905.543,913.076,1049433100,814.765,818.088,494693584,767.784,773.196,117814643
2005/5/11,778.275,771.586,310529900,911.838,901.851,904204700,816.817,811.57,463757906,771.406,772.078,112079649
2005/5/12,770.818,753.875,428574900,899.968,885.82,1022872000,810.16,807.51,459710546,772.158,769.018,124641757
2005/5/13,752.323,757.304,481831000,883.505,887.543,1124490600,806.728,814.878,519752845,766.125,779.491,122149531
2005/5/16,754.779,747.871,326200500,885.389,875.271,822428800,814.055,808.171,453750251,778.481,776.542,93583931
2005/5/17,745.846,750.711,315759600,873.077,881.462,877227300,806.808,818.455,495508190,775.239,785.44,118018942
2005/5/18,751.56,752.662,294306400,881.141,883.196,787861000,818.12,824.643,455807702,785.245,794.572,122289779
2005/5/19,752.981,754.785,347507500,882.842,884.171,814958300,824.826,824.94,477627612,795.206,794.49,107499883
2005/5/20,754.165,753.071,295633100,883.513,882.763,722667600,824.574,819.13,432752210,794.711,787.901,122679316
2005/5/23,749.827,737.741,260215000,880.281,863.341,727979500,816.195,793.724,431271537,784.476,758.679,117987050
2005/5/24,734.533,737.35,387022600,861.195,868.456,920692900,791.129,808.743,469529223,756.407,777.766,111155337
2005/5/25,737.121,737.538,250711500,867.658,868.451,723855600,808.521,809.697,529453761,778.169,781.991,119065814
2005/5/26,737.098,728.697,235486700,867.758,857.331,662278600,808.661,799.024,483878743,781.519,772.871,110976803
